stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
2,Sanford,28.8134755007,-81.2981154789,2,http://sunrail.com/station/sanford/,1
3,Lake Mary,28.7586649414,-81.3183007827,2,http://sunrail.com/station/lake-mary/,1
4,Altamonte Springs,28.6638272231,-81.3566132605,2,http://sunrail.com/station/altamonte-springs/,1
5,Winter Park,28.5974557336,-81.3516669263,3,http://sunrail.com/station/winter-park/,1
6,Florida Hospital Health Village,28.5732723849,-81.3713926585,3,http://sunrail.com/station/florida-hospital-health-village/,1
7,LYNX Central,28.5485505310,-81.3808650474,3,http://sunrail.com/station/lynx-central/,1
8,Orlando Health/Amtrak,28.5260873190,-81.3819822268,3,http://sunrail.com/station/orlando-health-amtrak/,1
9,Sand Lake Road,28.4531540986,-81.3669846899,3,http://sunrail.com/station/sand-lake-road/,1
14,Church Street,28.5389007413,-81.3807703597,3,http://sunrail.com/station/church-street-station/,1
15,Longwood,28.7012989343,-81.3453776838,2,http://sunrail.com/station/longwood/,1
16,Maitland,28.6349429309,-81.3621632499,3,http://sunrail.com/station/maitland/,1
17,DeBary,28.8556935029,-81.3234127708,1,http://sunrail.com/station/debary/,1
